,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
1358,Efecto,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.5510166666666665,96,0.801,0.141,0.475,1.73e-05,0.0639,-8.797,0.0516,98.047,4
1359,10 Things I Hate About You,10 Things I Hate About You,Leah Kate,2022-03-23,2.6189666666666667,81,0.544,0.00991,0.786,0.0,0.169,-2.97,0.0501,153.967,4
1360,Moscow Mule,Un Verano Sin Ti,Bad Bunny,2022-05-06,4.098983333333333,95,0.804,0.294,0.674,1.18e-06,0.115,-5.453,0.0333,99.968,4
1361,1979 - Remastered 2012,Mellon Collie And The Infinite Sadness (Deluxe Edition),The Smashing Pumpkins,1995,4.4366666666666665,78,0.767,0.0163,0.787,0.583,0.0513,-9.897,0.0331,126.879,4
1362,"1 step forward, 3 steps back",SOUR,Olivia Rodrigo,2021-05-21,2.7264333333333335,80,0.473,0.941,0.203,0.0,0.126,-12.627,0.102,168.884,4
1363,Un Ratito,Un Verano Sin Ti,Bad Bunny,2022-05-06,2.948933333333333,88,0.787,0.305,0.546,4.55e-05,0.122,-7.094,0.0532,93.05,4
1364,1985,A Hangover You Don't Deserve,Bowling For Soup,2004,3.216666666666667,72,0.606,0.000242,0.887,0.0,0.337,-4.404,0.0598,119.974,4
1365,Father Stretch My Hands Pt. 1,The Life Of Pablo,Kanye West,2016-06-10,2.2653333333333334,84,0.724,0.118,0.573,0.0,0.538,-4.113,0.0549,113.088,4
1366,Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,2022-05-06,4.304966666666667,96,0.647,0.08,0.686,1.34e-06,0.528,-5.745,0.0413,79.928,4
1367,100 Shots,Bulletproof,Young Dolph,2017-04-01,4.413633333333333,69,0.798,0.135,0.668,4.6e-06,0.0583,-5.244,0.25,134.006,4
1368,Un Coco,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.2735333333333334,88,0.839,0.207,0.69,8.33e-06,0.176,-4.464,0.0615,151.991,4
1369,16 Mirrors,Trick,Alex G,2012-11-05,1.45155,68,0.564,0.632,0.3,0.0022,0.101,-7.349,0.0887,121.888,4
1370,1 Scale (feat. G Herbo),Rich Slave,Young Dolph,2020-08-14,2.934,71,0.878,0.0289,0.635,0.0,0.276,-5.811,0.24,135.035,4
1371,Neverita,Un Verano Sin Ti,Bad Bunny,2022-05-06,2.8853166666666668,94,0.876,0.0706,0.498,0.0,0.143,-7.511,0.0478,122.016,4
1372,1004 Kilómetros,Jimmy Humilde Presenta Lo Mejor De Las Calles Edición Mexico,Jimmy Humilde,2020-04-03,4.61945,74,0.651,0.671,0.567,0.000373,0.126,-6.477,0.0301,96.845,4
1373,"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)",Dan + Shay,2019-10-04,2.7948833333333334,79,0.654,0.153,0.63,0.0,0.111,-4.644,0.0259,89.991,4
1374,Party,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.7938,91,0.829,0.0151,0.799,0.000543,0.242,-5.389,0.0897,97.013,4
1375,1985,THE INSIDE OUTTAKES,Bo Burnham,2022-06-02,2.4442333333333335,69,0.646,0.0432,0.724,0.0,0.333,-7.466,0.0475,155.85,4
1376,151 Rum,DiCaprio 2,JID,2018-11-26,2.613,72,0.756,0.155,0.867,0.00285,0.33,-3.626,0.162,129.983,4
1377,Un Verano Sin Ti,Un Verano Sin Ti,Bad Bunny,2022-05-06,2.46905,85,0.503,0.693,0.496,0.0,0.123,-9.123,0.0556,187.844,4
1378,"1, 2 Many",What You See Is What You Get,Luke Combs,2019-11-08,3.0151,72,0.54,0.0397,0.821,0.0,0.423,-3.789,0.0873,148.798,4
1379,Después de la Playa,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.84,89,0.564,0.356,0.903,0.0,0.175,-3.221,0.307,78.293,4
1380,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,2018-02-16,3.3587666666666665,80,0.792,0.165,0.895,0.0,0.0501,-3.112,0.0589,94.968,4
1381,115,Call of Duty: Black Ops – Zombies (Original Game Soundtrack),Treyarch Sound,2011-01-25,3.8026666666666666,66,0.363,0.000105,0.933,2.09e-06,0.102,-3.808,0.175,200.215,4
1382,18,FOUR (Deluxe),One Direction,2014-11-17,4.139333333333333,78,0.681,0.22,0.582,0.0,0.119,-7.76,0.0313,124.038,4
1383,One Dance,Views,Drake,2016-05-06,2.899766666666667,86,0.792,0.00776,0.625,0.0018,0.329,-5.609,0.0536,103.967,4
1384,1985,THE INSIDE OUTTAKES,Bo Burnham,2022-06-02,2.4442333333333335,72,0.646,0.0432,0.724,0.0,0.333,-7.466,0.0475,155.85,4
1385,1950,1950,King Princess,2018-02-23,3.7522166666666665,73,0.6,0.648,0.535,4.7e-06,0.162,-7.043,0.107,71.912,4
1386,I'm Not The Only One,In The Lonely Hour,Sam Smith,2014-05-26,3.9886,89,0.677,0.529,0.485,2.04e-05,0.0766,-5.795,0.0361,82.001,4
1387,120,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,2020-11-27,2.5251,79,0.636,0.451,0.656,7.97e-06,0.287,-5.542,0.0676,171.918,4
1388,100 Bad Days,Neotheater,AJR,2019-04-26,3.5463833333333334,67,0.626,0.0465,0.639,0.0,0.161,-5.62,0.085,144.009,4
1389,Dos Mil 16,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.476916666666667,88,0.817,0.123,0.67,1.92e-06,0.128,-6.534,0.0506,130.058,3
1390,Tarot,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.9649,92,0.795,0.0225,0.684,0.0,0.658,-3.971,0.0419,114.011,4
1391,15th and the 1st (feat. YG Hootie),Ferrari Boyz (Deluxe),Gucci Mane & Waka Flocka Flame,2011-08-05,3.88955,56,0.83,0.0362,0.672,0.0,0.106,-4.199,0.333,140.081,4
1392,1999,Still Sleep?,Sleepy Hallow,2021-06-02,3.4715333333333334,70,0.802,0.856,0.502,0.0,0.256,-7.136,0.059,123.097,4
1393,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,10.2171,85,0.631,0.274,0.518,0.0,0.088,-8.771,0.0303,93.023,4
1394,122 Days,I Want to Die In New Orleans,$uicideboy$,2018-09-07,3.0720666666666667,69,0.748,0.409,0.381,7.04e-06,0.571,-13.221,0.362,130.944,4
1395,La Corriente,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.3061166666666666,91,0.663,0.229,0.786,0.0,0.219,-3.51,0.195,196.12,4
1396,1 Pure Minute,Glacial,Gl8cier,2022-07-13,1.03845,73,0.196,0.901,0.621,0.309,0.112,-27.949,0.057,141.915,4
1397,13,FLAWLESS LIKE ME,LUCKI,2022-09-23,2.6,64,0.578,0.39,0.25,0.427,0.765,-14.467,0.116,74.98,4
1398,1st Degree Murder,First Draft,Trippie Redd,2022-09-30,2.434,69,0.73,0.497,0.395,0.0,0.147,-5.329,0.0425,134.908,4
1399,SLOW DANCING IN THE DARK,BALLADS 1,Joji,2018-10-26,3.4878833333333334,86,0.515,0.544,0.479,0.00598,0.191,-7.458,0.0261,88.964,4
1400,20 Min,Luv Is Rage 2 (Deluxe),Lil Uzi Vert,2017-11-17,3.676433333333333,84,0.773,0.109,0.75,0.0,0.174,-4.009,0.117,123.426,4
1401,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,2022-06-17,3.6394,91,0.529,0.000307,0.673,2.41e-06,0.093,-4.711,0.175,165.921,4
1402,29,29,Demi Lovato,2022-08-17,2.7171166666666666,76,0.322,0.00507,0.698,0.0,0.249,-3.812,0.0542,183.963,4
1403,2 Be Loved (Am I Ready),Special,Lizzo,2022-07-15,3.11845,85,0.721,0.0922,0.769,0.0,0.0817,-4.111,0.105,155.932,4
1404,Bound 2,Yeezus,Kanye West,2013-06-18,3.8191,89,0.367,0.145,0.665,0.0,0.113,-2.821,0.0465,148.913,4
1405,223's (feat. BabyTron),BACK IN ACTION 3.0,midwxst,2022-09-07,2.218933333333333,69,0.469,0.00657,0.703,4.4e-05,0.553,-6.032,0.297,97.522,4
1406,2055,Still Sleep?,Sleepy Hallow,2021-06-02,2.0664333333333333,82,0.829,0.492,0.512,0.0,0.12,-5.865,0.187,80.511,4
1407,Running Up That Hill (A Deal With God) - 2018 Remaster,Hounds of Love (2018 Remaster),Kate Bush,1985-09-16,5.014,87,0.625,0.659,0.533,0.00266,0.0546,-11.903,0.0596,108.296,4
1408,21,THE GOAT,Polo G,2020-05-15,2.72995,77,0.783,0.149,0.479,0.0,0.101,-10.646,0.541,176.027,4
1409,Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,2021-09-03,4.049416666666667,85,0.849,0.0635,0.424,0.0,0.0834,-9.579,0.324,145.887,4
1410,23,23,Chayce Beckham,2021-05-14,3.8024,75,0.626,0.276,0.583,0.0,0.141,-7.346,0.0318,87.977,4
1411,24K Magic,24K Magic,Bruno Mars,2016-11-17,3.766383333333333,80,0.818,0.034,0.803,0.0,0.153,-4.282,0.0797,106.97,4
1412,22,Red (Deluxe Edition),Taylor Swift,2012-10-22,3.83555,59,0.658,0.00215,0.729,0.0013,0.0752,-6.561,0.0378,104.007,4
1413,2 Mins of Pain (feat. Alborosie),2 Mins of Pain (feat. Alborosie),Sleepy Hallow,2022-09-07,2.27825,75,0.886,0.101,0.434,1.22e-06,0.297,-12.106,0.403,147.995,4
1414,Everybody Wants To Rule The World,Songs From The Big Chair (Super Deluxe Edition),Tears For Fears,1985-02-25,4.191466666666667,88,0.645,0.347,0.795,0.00389,0.104,-12.095,0.0527,112.067,4
1415,2055,2055,Sleepy Hallow,2021-04-14,2.0664333333333333,74,0.775,0.455,0.518,0.0,0.121,-5.857,0.311,161.011,4
1416,2nd Hand,KILL YOURSELF Part XII: The Dark Glacier Saga,$uicideboy$,2017-05-26,2.0578,74,0.933,0.0307,0.424,0.0,0.101,-6.686,0.127,139.977,4
1417,Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,4.296666666666667,84,0.828,0.0644,0.492,0.00428,0.128,-9.744,0.0276,120.151,4
1418,2 Million Up,ONLY BUILT 4 DIAMOND LINKS,Peezy,2022-08-12,2.6662166666666667,69,0.884,0.115,0.423,0.0,0.0895,-10.181,0.275,95.753,4
1419,No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,4.879983333333334,89,0.69,0.324,0.521,0.0,0.0534,-8.492,0.339,100.028,4
1420,21 Questions,Get Rich Or Die Tryin',50 Cent,2003-02-06,3.7404333333333333,73,0.576,0.353,0.807,0.000363,0.0512,-3.908,0.317,90.012,4
1421,"...And to Those I Love, Thanks for Sticking Around",Stop Staring At the Shadows,$uicideboy$,2020-02-14,2.80815,83,0.792,0.124,0.511,9.04e-05,0.14,-6.876,0.0409,113.983,4
1422,2AM,Ctrl (Deluxe),SZA,2022-06-09,4.04705,73,0.504,0.438,0.267,0.0,0.141,-13.678,0.406,83.966,4
1423,24 (feat. Lil Baby),Epidemic (Deluxe),Money Man,2020-08-21,3.047616666666667,74,0.868,0.146,0.638,0.0565,0.0931,-7.746,0.0736,126.03,4
1424,Tomorrow 2 (with Cardi B),Tomorrow 2 (with Cardi B),GloRilla,2022-09-23,3.49685,80,0.791,0.0695,0.818,0.0,0.114,-3.93,0.406,159.922,4
1425,Need to Know,Planet Her,Doja Cat,2021-06-25,3.509333333333333,85,0.664,0.304,0.609,0.0,0.0926,-6.509,0.0707,130.041,4
1426,23,23,Mike WiLL Made-It,2013-01-01,4.208666666666667,73,0.859,0.000362,0.599,8.2e-06,0.13,-5.254,0.0614,140.005,4
1427,28 Reasons,28 Reasons - The 1st Mini Album,SEULGI,2022-10-04,3.1568833333333335,77,0.766,0.211,0.651,2.51e-06,0.144,-3.546,0.0952,121.995,4
1428,23,23,Sam Hunt,2021-09-09,2.9953333333333334,71,0.641,0.0206,0.78,0.0,0.143,-5.138,0.0852,98.004,4
1429,ball w/o you,i am > i was,21 Savage,2018-12-21,3.250766666666667,82,0.892,0.0467,0.633,0.000189,0.139,-7.471,0.0902,137.994,4
1430,2 Baddies,2 Baddies - The 4th Album,NCT 127,2022-09-16,3.838216666666667,70,0.596,0.153,0.921,0.0,0.0922,-2.372,0.258,171.96,4
1431,2002,Speak Your Mind (Deluxe),Anne-Marie,2018-04-27,3.116433333333333,83,0.697,0.0372,0.683,0.0,0.137,-2.881,0.117,96.133,4
1432,rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,2018-04-27,3.6357666666666666,85,0.585,0.124,0.52,7.01e-05,0.131,-6.136,0.0712,159.801,4
1433,2009,Swimming,Mac Miller,2018-08-03,5.799766666666667,71,0.533,0.77,0.496,0.000164,0.0969,-9.363,0.517,155.158,4
1434,2step,La Fine dell'Estate,Various Artists,2022-10-07,2.560433333333333,4,0.763,0.169,0.661,0.0,0.117,-5.592,0.056,95.002,4
1435,I Really Want to Stay at Your House,"Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)",Various Artists,2020-12-18,4.1108666666666664,87,0.49,0.00237,0.738,4.58e-06,0.0851,-7.399,0.0367,124.966,4
1436,223's (feat. 9lokknine),223's (feat. 9lokknine),YNW Melly,2019-08-09,2.944,66,0.932,0.0388,0.547,0.0,0.0924,-7.787,0.333,94.998,4
1437,2step,I'm Blue - Hits of 2022,Various Artists,2022-10-14,2.72415,0,0.693,0.138,0.643,0.0,0.108,-5.867,0.0828,95.055,4
1438,Took Her To The O,Levon James,King Von,2020-03-06,3.26965,80,0.82,0.0149,0.592,4.71e-06,0.121,-7.002,0.29,159.98,4
1439,22 (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,3.8493333333333335,73,0.642,0.000443,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,4
1440,200 COPAS,KG0516,KAROL G,2021-03-26,3.620216666666667,79,0.515,0.767,0.704,0.0,0.415,-5.25,0.206,91.246,3
1441,2 On (feat. ScHoolboy Q),Aquarius,Tinashe,2014-10-01,3.783333333333333,73,0.742,0.15,0.595,0.0,0.111,-7.51,0.107,101.013,4
1442,Talking to the Moon,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,3.6311,83,0.498,0.511,0.59,0.0,0.107,-4.721,0.032,145.867,4
1443,29,HOLY FVCK,Demi Lovato,2022-08-19,2.7171166666666666,75,0.322,0.00507,0.698,0.0,0.249,-3.812,0.0542,183.963,4
1444,Dos Mil 16,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.476916666666667,88,0.817,0.123,0.67,1.92e-06,0.128,-6.534,0.0506,130.058,3
1445,212,Broke with Expensive Taste,Azealia Banks,2014-11-07,3.4159333333333333,69,0.846,0.0123,0.772,0.000106,0.0769,-5.735,0.259,125.998,4
1446,Cash In Cash Out,Cash In Cash Out,Pharrell Williams,2022-06-10,3.60225,81,0.877,0.00721,0.56,1.45e-06,0.0839,-3.751,0.0596,119.971,4
1447,a lot,i am > i was,21 Savage,2018-12-21,4.8104,81,0.837,0.0395,0.636,0.00125,0.342,-7.643,0.086,145.972,4
1448,20 Something,Ctrl,SZA,2017-06-09,3.3026666666666666,70,0.569,0.739,0.299,0.0,0.054,-8.603,0.275,81.049,4
1449,EA (feat. 21 Savage),SlimeBall 2,Young Nudy,2017-08-11,3.78625,80,0.451,0.261,0.876,0.0,0.098,-5.205,0.414,87.306,5
1450,3 Headed Goat (feat. Lil Baby & Polo G),Just Cause Y'all Waited 2,Lil Durk,2020-05-08,2.8255166666666667,77,0.846,0.269,0.48,0.0,0.0989,-8.618,0.359,143.029,4
1451,Die Young (feat. 347aidan),Die Young (feat. 347aidan),Sleepy Hallow,2022-05-25,2.4802666666666666,82,0.808,0.827,0.582,0.0,0.111,-6.26,0.338,77.471,4
1452,3 BIG BALLS,3 BIG BALLS,DigBar,2021-07-19,2.26935,60,0.935,0.0541,0.518,0.0,0.328,-11.22,0.445,114.02,4
1453,34+35,Positions,Ariana Grande,2020-10-30,2.895166666666667,81,0.83,0.237,0.585,0.0,0.248,-6.476,0.094,109.978,4
1454,XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,3.0451,83,0.732,0.00264,0.75,0.0,0.109,-6.366,0.231,155.096,4
1455,3 Nights,"Don't Forget About Me, Demos",Dominic Fike,2018-10-16,2.9611,78,0.815,0.223,0.518,0.0,0.104,-6.594,0.0897,151.891,4
1456,"Crazy Story, Pt. 3","Grandson, Vol. 1",King Von,2019-09-20,3.189983333333333,77,0.729,0.00165,0.73,4.33e-05,0.118,-5.14,0.261,156.953,4
1457,3AM,Yourself or Someone Like You,Matchbox Twenty,1996-10-01,3.7657666666666665,72,0.521,0.00573,0.673,0.0,0.12,-8.685,0.0284,108.031,4
1458,The 30th,Guitar Songs,Billie Eilish,2022-07-21,3.607466666666667,82,0.387,0.929,0.135,0.0,0.0948,-14.398,0.051,82.987,4
1459,"3RACHA (Bang Chan, Changbin, HAN)",MAXIDENT,Stray Kids,2022-10-07,3.4762166666666667,75,0.721,0.229,0.856,0.0,0.0853,-3.117,0.301,142.068,4
1460,Kryptonite,The Better Life,3 Doors Down,2000,3.8988833333333335,80,0.545,0.00664,0.865,1.1e-05,0.168,-5.708,0.0286,99.009,4
1461,30 Hours,The Life Of Pablo,Kanye West,2016-06-10,5.388366666666666,65,0.823,0.0359,0.813,0.0,0.0886,-6.71,0.288,95.012,4
1462,3:15 (Breathe),3:15 (Breathe),Russ,2021-05-21,3.066666666666667,75,0.451,0.591,0.627,0.00958,0.118,-4.59,0.127,74.69,4
1463,30/90,"tick, tick... BOOM! (Soundtrack from the Netflix Film)","The Cast of Netflix's Film tick, tick... BOOM!",2021-11-12,4.375083333333333,68,0.466,0.0146,0.789,0.0,0.0637,-5.956,0.0663,175.772,4
1464,<3,YHLQMDLG,Bad Bunny,2020-02-29,2.6327833333333333,72,0.631,0.602,0.665,1.7e-06,0.152,-7.589,0.229,80.353,4
1465,"1 step forward, 3 steps back",SOUR,Olivia Rodrigo,2021-05-21,2.7264333333333335,80,0.473,0.941,0.203,0.0,0.126,-12.627,0.102,168.884,4
1466,365,365,Los Reales Del Rio,2022-08-04,3.141183333333333,66,0.78,0.335,0.819,0.0,0.256,-3.661,0.0384,117.924,4
1467,3:15,COSMIC,Bazzi,2018-04-12,2.7836333333333334,67,0.651,0.385,0.654,0.0,0.181,-5.481,0.0466,141.975,4
1468,3005,Because the Internet,Childish Gambino,2013-12-10,3.903583333333333,64,0.664,0.112,0.447,0.0,0.091,-7.272,0.289,83.138,4
1469,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Positions (Deluxe),Ariana Grande,2021-02-19,3.0406166666666667,70,0.659,0.211,0.662,0.0,0.228,-5.768,0.434,109.957,4
1470,3 O'Clock Things,OK ORCHESTRA,AJR,2021-03-26,3.8062666666666667,62,0.685,0.0344,0.523,0.0,0.161,-8.633,0.0783,94.026,4
1471,ADDICTIONS (FEAT. Tre' Amani),WASTELAND,Brent Faiyaz,2022-07-08,3.2001666666666666,74,0.889,0.0209,0.489,1.78e-05,0.0814,-8.587,0.108,93.039,4
1472,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",34+35 (Remix),Ariana Grande,2021-01-15,3.0406166666666667,68,0.88,0.205,0.662,0.0,0.227,-5.766,0.304,109.988,4
1473,3 A.M.,Levon James,King Von,2020-03-06,2.114716666666667,65,0.885,0.0401,0.485,0.0,0.103,-7.891,0.474,139.989,4
1474,Animal I Have Become,One-X,Three Days Grace,2006-06-25,3.8566666666666665,75,0.553,0.000684,0.853,0.0,0.126,-3.668,0.0339,122.023,4
1475,3 Musketeers,3 Musketeers,ppcocaine,2020-07-07,2.78095,65,0.91,0.258,0.617,0.0,0.122,-10.234,0.0847,104.972,4
1476,Three Little Birds,Exodus,Bob Marley & The Wailers,1977-06-03,3.0044333333333335,78,0.826,0.00916,0.49,4.41e-06,0.0415,-10.477,0.0676,74.126,4
1477,3500 (feat. Future & 2 Chainz),Rodeo (Expanded Edition),Travis Scott,2015-09-04,7.697333333333333,67,0.773,0.114,0.595,2.47e-06,0.13,-6.062,0.161,123.968,4
1478,"3, 2, 1",El Dorado,24kGoldn,2021-03-26,2.1931,68,0.694,0.246,0.708,0.0,0.152,-2.066,0.137,164.958,4
1479,1400 / 999 Freestyle,A Love Letter To You 3,Trippie Redd,2018-11-09,2.9325666666666668,78,0.825,0.0079,0.572,0.0,0.113,-6.067,0.0864,141.991,4
1480,Empire State Of Mind,The Blueprint 3,JAY-Z,2009-09-08,4.615333333333333,84,0.491,0.0295,0.956,0.0,0.46,-1.538,0.392,173.585,4
1481,Session 32,Session 32,Summer Walker,2018-04-05,1.6337666666666666,74,0.574,0.894,0.123,0.00111,0.118,-13.959,0.196,115.431,3
1482,3.2 Hz Healing Sleep - Binaural Beats,Binaural Beats - Sleep (Delta Waves),Miracle Tones,2020-11-27,2.150333333333333,64,0.146,0.797,0.0178,0.592,0.116,-32.357,0.0526,138.738,4
1483,The Kill,A Beautiful Lie,Thirty Seconds To Mars,2005-01-01,3.8588833333333334,76,0.179,0.0014,0.912,0.000294,0.582,-3.881,0.0791,182.99,3
1484,3AM IN LA,OH REALLY,Doe Boy,2022-01-26,1.9904,62,0.867,0.0656,0.494,0.0,0.103,-4.724,0.37,145.09,4
1485,33,THE GOAT,Polo G,2020-05-15,2.8342833333333335,64,0.732,0.126,0.462,0.0,0.12,-10.191,0.406,180.067,4
1486,DONTTRUSTME,WANT,3OH!3,2008-07-07,3.20955,72,0.791,0.0163,0.713,0.0,0.189,-3.742,0.254,130.012,4
1487,3 Am,Sauce Boyz,Eladio Carrion,2020-01-31,3.4706,78,0.852,0.413,0.613,0.000201,0.123,-5.261,0.108,89.951,4
1488,I <3 My Choppa,#SantanaWorld (+),Tay-K,2017-12-14,1.75,73,0.732,0.000279,0.47,0.0,0.119,-7.601,0.244,159.936,4
1489,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,2.3634166666666667,87,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,4
1490,30 (feat. Bizzy Banks),Faith,Pop Smoke,2021-07-16,3.8041833333333335,63,0.578,0.107,0.684,0.0,0.49,-5.908,0.191,106.743,3
1491,Gimme Three Steps,Pronounced' Leh-'Nerd 'Skin-'Nerd,Lynyrd Skynyrd,1973-01-01,4.452883333333333,69,0.554,0.698,0.74,6.9e-05,0.225,-7.706,0.0803,133.363,4
1492,300 Violin Orchestra,Hip Hop and Rnb Instrmentals,Jorge Quintero,2008-07-02,2.9670833333333335,61,0.591,0.342,0.75,0.363,0.0804,-6.599,0.0479,149.931,4
1493,I Hate Everything About You,Three Days Grace,Three Days Grace,2003-04-19,3.858,74,0.498,0.00461,0.83,0.0,0.139,-5.157,0.0421,89.342,4
1494,38 Baby,38 Baby,YoungBoy Never Broke Again,2016-10-28,2.8947333333333334,56,0.712,0.109,0.661,0.0,0.0626,-5.873,0.268,152.065,4
1495,3AM in New Orleans,Lil Black Jean Jacket 3,A$AP ANT,2022-05-11,2.2279833333333334,65,0.649,0.0496,0.647,0.0008,0.104,-7.386,0.0913,158.982,4
1496,haunt me (x 3),dc snuff film / waste yrself,Teen Suicide,2015-10-07,2.7611833333333333,73,0.566,0.714,0.613,0.799,0.0848,-10.118,0.0874,110.886,4
1497,"327 (feat. Tyler, The Creator & Billie Essco)",Pray for Paris,Westside Gunn,2020-04-17,5.817333333333333,64,0.42,0.832,0.701,0.0,0.103,-7.582,0.339,79.716,4
1498,Duality,Vol. 3: The Subliminal Verses,Slipknot,2004,4.210216666666667,81,0.354,0.000237,0.982,0.000294,0.204,-3.026,0.168,143.772,4
1499,3 Peat,Tha Carter III,Lil Wayne,2008-06-10,3.3237666666666668,57,0.769,0.00112,0.66,0.0,0.078,-7.37,0.33,153.092,4
1500,4 Da Gang (with Roddy Ricch),Free Dem Boyz,42 Dugg,2021-05-21,2.606116666666667,74,0.87,0.0124,0.561,0.0,0.103,-10.388,0.186,100.458,4
1501,Romantic Homicide,Romantic Homicide,d4vd,2022-07-20,2.2105,93,0.571,0.453,0.544,0.00805,0.322,-10.613,0.0299,132.052,4
1502,4:00A.M.,MIGNONNE (Mastered by Bernie Grundman),Taeko Onuki,1978-09-21,5.616,71,0.631,0.341,0.644,0.000411,0.0877,-10.81,0.0348,103.376,4
1503,4EVER,4EVER,Clairo,2018-04-27,2.6599166666666667,73,0.75,0.049,0.585,0.00552,0.155,-7.576,0.0285,102.331,4
1504,good 4 u,SOUR,Olivia Rodrigo,2021-05-21,2.9691,88,0.563,0.335,0.664,0.0,0.0849,-5.044,0.154,166.928,4
1505,4:44,4:44,JAY-Z,2017-07-07,4.74155,73,0.261,0.139,0.852,4.26e-05,0.477,-4.965,0.158,177.997,4
1506,Lost in the Fire (feat. The Weeknd),Hyperion,Gesaffelstein,2019-03-08,3.3682166666666666,86,0.658,0.0933,0.671,0.000927,0.115,-12.21,0.0363,100.966,4
1507,4 BIG GUYS,DIGBARGAYRAPS THE ALBUM,DigBar,2021-12-18,1.8268166666666668,54,0.779,0.0972,0.842,0.0,0.168,-4.09,0.282,125.939,4
1508,4th Dimension,KIDS SEE GHOSTS,KIDS SEE GHOSTS,2018-06-08,2.55585,70,0.765,0.278,0.542,1.87e-05,0.609,-6.755,0.39,171.945,4
1509,Sex on Fire,Only By The Night,Kings of Leon,2008-09-23,3.3891,82,0.542,0.00172,0.905,0.0104,0.136,-5.653,0.054,153.398,4
1510,45,Leave a Whisper (Deluxe Edition),Shinedown,2003-05-27,4.168216666666667,67,0.446,0.0022,0.657,0.0,0.189,-4.494,0.0262,152.132,3
1511,September,"The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",1978-11-23,3.5848833333333334,84,0.697,0.168,0.832,0.00131,0.269,-7.264,0.0298,125.926,4
1512,4K,4K,El Alfa,2020-03-12,3.3583333333333334,69,0.925,0.355,0.9,0.00608,0.124,-4.361,0.143,120.031,4
1513,4 Your Eyez Only,4 Your Eyez Only,J. Cole,2016-12-09,8.83755,68,0.701,0.367,0.485,6.31e-05,0.0852,-10.305,0.364,78.863,4
1514,PUNTO 40,PUNTO 40,Rauw Alejandro,2022-09-22,3.177566666666667,84,0.873,0.00127,0.826,0.0361,0.311,-0.722,0.0876,106.972,4
1515,40s N 9s,40s N 9s,DD Osama,2022-08-01,2.4267666666666665,66,0.792,0.307,0.637,0.0,0.0888,-10.032,0.419,159.757,4
1516,Set Fire to the Rain,21,Adele,2011-01-24,4.04955,79,0.603,0.00408,0.67,1.68e-06,0.112,-3.882,0.0249,107.993,4
1517,The Grinch,A Love Letter To You 4,Trippie Redd,2019-11-22,1.5214666666666667,81,0.676,0.137,0.503,6.36e-05,0.0981,-6.115,0.0971,162.85,4
1518,4L,i am > i was,21 Savage,2018-12-21,4.806066666666666,62,0.879,0.000897,0.41,2.09e-05,0.108,-9.233,0.551,80.011,4
1519,4 The Betta,Days B4 III,LUCKI,2019-10-25,2.2019166666666665,65,0.78,0.233,0.453,1.98e-06,0.114,-9.926,0.337,155.984,4
1520,4:22,OzuTochi,Ozuna,2022-10-07,3.2226666666666666,62,0.771,0.0205,0.727,4.54e-06,0.291,-4.285,0.0416,104.035,4
1521,We Paid (feat. 42 Dugg),My Turn (Deluxe),Lil Baby,2020-05-01,3.03215,75,0.926,0.135,0.542,0.0,0.0877,-5.064,0.293,135.14,4
1522,4 AM,Pretty Girls Like Trap Music,2 Chainz,2017-06-16,4.259333333333333,66,0.796,0.118,0.5,0.0,0.155,-7.21,0.425,75.012,4
